source,keyword,date,product,reason,classification,status,country,recalling_firm
FDA,dates,20191103,Mann's Snacking Favorites  Cheddar Pretzel Snack Tray  4 x 19 oz.  UPC: 716519020445,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class I,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20131107,"Weis,	Seafood Salad Supreme	,1/5 lb.,		0 11596 55218 7,	11/21/2013 - 11/29/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Garden-Fresh, Deviled Egg Salad,	1/5 lb., 0 11596 52122 0,	11/20/2013 - 12/5/2013;  Grandpa's,	Deviled Egg Salad,	6/16 oz.,	0 11596 14012 4, 0 00 11596 14012 4 ,	11/26/2013 - 12/9/2013;  ;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#426 08 oz Grilled Salmon w/Couscous	8 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Spoon River,	Western Veggie Dip,	1/5 lb.,		0 11596 55679 6,	12/16/2013 - 12/30/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#358 Savory Seasoning		5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20120910,#450 10 oz Garden Veggies	10 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20120910,#443 10 oz Roasted Potatoes with Dill	10 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Finest Traditions, Cookies & Creme Dessert, 1/8 lb., 10 733147 00022 6, 	11/11/2013 - 11/25/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#354 Bacon Potato - 8 count Pan		8 each,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Garden-Fresh, Amish Country Cole Slaw,  2/5 lb.	, 0 11596 53010 9	11/21/2013 - 12/6/2013","Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20131107,"Finest Traditions, Fresh Salsa Spicy,	6/11 oz.,	10 733147 10996 7,	12/9/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class II,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20191103,Mann's Snacking Favorites Honey Turkey Cheddar  Tray  4 x 20.3 oz.  UPC: 716519020483,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class I,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20120910,#385 1/2 Asparagus Quiche	0.5 each,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20120910,#064 Fruit Cup: Cantaloupe Honeydew Water Straw	9 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20150909,"Burger King Crown, Apple Slices, Net Wt. 2 oz., Best If Used By: 9/14/2015; packed 20-2 oz. pouches to a case.    Distributed by: Burger King Corporation, Miami, FL 33126","Appeeling Fruit Inc. in Dauberville, Penn. is voluntarily recalling consumer packages of fresh sliced apples with Best-if-Used-by dates of 09/14/15 and 09/21/15, due to the potential to be contaminated with listeria monocytogenes,",Class I,Terminated,USA,"Appeeling Fruit, Inc"
