hs_code,hs_desc,year,country_code,country_name,value_usd,weight_kg,qty,price_usd_kg,value_lag1,growth_yoy
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2023,842,États-Unis,2.171,4.0,4.0,0.54275,455948.318,-99.99952384954297
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,036,Australie,200.269,24.0,24.0,8.344541666666666,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2017,056,Belgique,68512.58,9806.4,9806.4,6.986516968510361,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2018,056,Belgique,416518.913,60382.65,60382.65,6.897989952411827,68512.58,507.94515839280893
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,056,Belgique,227332.695,34866.3,34866.3,6.520126741294602,416518.913,-45.42079893500538
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2020,056,Belgique,850112.644,188678.47,188678.47,4.505615526774199,227332.695,273.95089342516263
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2021,056,Belgique,26079.702,8141.04,8141.04,3.2034853040889124,850112.644,-96.93220631594322
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2022,056,Belgique,222382.101,25831.0,25831.0,8.60911699121211,26079.702,752.7018483570096
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2023,056,Belgique,540263.09,79523.24,79523.24,6.793776133869796,222382.101,142.94360363112136
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2017,124,Canada,116835.137,16145.0,16145.0,7.236614245896563,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2018,124,Canada,191621.719,18295.0,18295.0,10.473993932768517,116835.137,64.01035161194702
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,124,Canada,282604.376,33755.0,33755.0,8.37222266330914,191621.719,47.480346943344124
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2020,124,Canada,7786.373,1424.2,1424.2,5.4671907035528715,282604.376,-97.24477974820884
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2021,124,Canada,296435.692,18047.7,18047.7,16.425122979659456,7786.373,3707.108804060632
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2022,124,Canada,11066.604,1832.0,1832.0,6.040722707423581,296435.692,-96.26677748373162
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2023,124,Canada,271119.461,38980.0,38980.0,6.9553478963571065,11066.604,2349.888520453068
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2017,156,Chine,2695014.855,496637.6,496637.6,5.4265219850450315,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2018,156,Chine,4117791.603,741381.833,741381.833,5.554211635234391,2695014.855,52.79290929919569
